"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R98","0603R","2.286mm","17.78mm","2.286mm","17.78mm","2.286mm","18.6055mm","T","270.00","10K"
"LED4","D0805","2.633mm","13.409mm","2.6416mm","14.5542mm","2.633mm","14.552mm","T","0.00","Green"
"LED3","D0805","24.7628mm","46.8208mm","25.908mm","46.8122mm","25.9058mm","46.8208mm","T","270.00","Green"
"LED2","D0805","24.9914mm","64.9056mm","26.1366mm","64.897mm","26.1344mm","64.9056mm","T","270.00","Green"
"EC5","C100UF16VEJ","56.8208mm","35.6861mm","56.8198mm","32.4104mm","56.8308mm","32.4102mm","T","90.00","100uF/35V"
"J8","KF2EDG-4P-3.81mm","20.2184mm","76.0984mm","25.9334mm","76.0984mm","25.9334mm","76.0984mm","T","180.00","4 HEADER"
"U23","DIP-4","5.174mm","26.533mm","6.4516mm","31.0896mm","6.444mm","31.105mm","T","0.00","PS2501L-1"
"U21","SOT23","98.3323mm","63.1189mm","97.3074mm","64.0588mm","97.3163mm","64.0713mm","T","270.00","CJ431"
"U20","w314_-_duplicate","82.4128mm","56.3118mm","77.0128mm","57.5818mm","77.0128mm","57.5818mm","T","270.00","W314"
"U19","SOP8","37.5434mm","63.4046mm","35.0266mm","65.3034mm","34.9034mm","65.3096mm","T","0.00","AT24C16"
"U16","SOP8","32.819mm","48.825mm","30.3022mm","50.7238mm","30.179mm","50.73mm","T","0.00","SP706SEN"
"U15","DIP-4","82.3114mm","63.5076mm","86.868mm","62.23mm","86.8834mm","62.2376mm","T","270.00","PS2501L-1"
"TVS4","3528TVS","96.2406mm","70.2818mm","96.2406mm","70.2818mm","98.0186mm","70.2818mm","T","360.00","BA301N"
"TVS3","3528TVS","89.0778mm","70.3072mm","89.0778mm","70.3072mm","87.2998mm","70.3072mm","T","180.00","BA301N"
"R92","0603R","5.2324mm","17.78mm","5.2324mm","17.78mm","5.2324mm","18.6055mm","T","270.00","4K7"
"R68","0603R","101.4984mm","53.6702mm","101.4984mm","53.6702mm","101.4984mm","52.8447mm","T","90.00","51R/1%"
"R67","0603R","101.4984mm","56.7436mm","101.4984mm","56.7436mm","101.4984mm","55.9181mm","T","90.00","4K7/1%"
"R66","0603R","94.3356mm","54.1528mm","94.3356mm","54.1528mm","93.5101mm","54.1528mm","T","360.00","20K/1%"
"R65","0603R","42.2656mm","60.7822mm","42.2656mm","60.7822mm","42.2656mm","59.9567mm","T","90.00","10K"
"R64","0603R","38.9128mm","49.5554mm","38.9128mm","49.5554mm","38.0873mm","49.5554mm","T","360.00","1K"
"R62","1206R","92.2698mm","56.1858mm","94.0562mm","56.1848mm","94.0478mm","56.1858mm","T","180.00","10R"
"R61","0603R","42.291mm","63.881mm","42.291mm","63.881mm","42.291mm","64.7065mm","T","270.00","10k"
"R60","0603R","41.148mm","47.1678mm","41.148mm","47.1678mm","41.148mm","46.3423mm","T","90.00","10K"
"R59","0603R","38.9128mm","48.006mm","38.9128mm","48.006mm","39.7383mm","48.006mm","T","180.00","10K"
"R58","0603R","38.9382mm","46.4312mm","38.9382mm","46.4312mm","39.7637mm","46.4312mm","T","180.00","10K"
"R53","0603R","25.908mm","54.2036mm","25.908mm","54.2036mm","26.7335mm","54.2036mm","T","180.00","10K"
"R52","0603R","87.0458mm","60.1472mm","87.0458mm","60.1472mm","86.2203mm","60.1472mm","T","360.00","10K"
"R51","1206R","91.7204mm","62.3654mm","91.7194mm","60.579mm","91.7204mm","60.5874mm","T","90.00","1K"
"R50","0603R","74.7268mm","63.4238mm","74.7268mm","63.4238mm","74.7268mm","64.2493mm","T","270.00","10K"
"R13","0603R","48.8188mm","45.847mm","48.8188mm","45.847mm","47.9933mm","45.847mm","T","360.00","0R"
