Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 46400  Y 58000
X 50800  Y 60800
X 48800  Y 65200
X 49200  Y 70800
X 46000  Y 93200
X 28800  Y 105600
X 49600  Y 107200
X 46000  Y 137200
X 46000  Y 149200
X 46000  Y 266000
X 46000  Y 301600
X 67600  Y 198000
X 72800  Y 144400
X 57200  Y 141600
X 57200  Y 138000
X 54400  Y 134400
X 60000  Y 133200
X 73600  Y 120400
X 74000  Y 116000
X 60000  Y 116000
X 64800  Y 116000
X 57200  Y 110800
X 64800  Y 110400
X 68400  Y 110000
X 54000  Y 106400
X 68000  Y 105600
X 67300  Y 90900
X 71600  Y 63200
X 67200  Y 62400
X 75200  Y 62000
X 60400  Y 61600
X 74000  Y 54000
X 98200  Y 51000
X 94000  Y 54000
X 82000  Y 79200
X 90800  Y 91600
X 84000  Y 105200
X 103600  Y 105200
X 88400  Y 106400
X 79600  Y 106800
X 84000  Y 108800
X 80000  Y 110400
X 84000  Y 116000
X 87600  Y 116000
X 80000  Y 116000
X 91200  Y 116400
X 92000  Y 120800
X 92800  Y 144400
X 93200  Y 218400
X 92400  Y 285600
X 92486  Y 296313
X 102400  Y 369600
X 81000  Y 381000
X 87500  Y 381500
X 128800  Y 376000
X 133600  Y 376000
X 108800  Y 374400
X 141200  Y 370800
X 136800  Y 370800
X 117600  Y 331600
X 108000  Y 257600
X 116000  Y 257600
X 129500  Y 256000
X 136000  Y 256000
X 135500  Y 240000
X 135600  Y 229600
X 108000  Y 148800
X 116000  Y 148800
X 111600  Y 144400
X 109200  Y 141600
X 107600  Y 138000
X 106800  Y 134400
X 140800  Y 126800
X 133500  Y 123000
X 136500  Y 123000
X 144400  Y 121600
X 134400  Y 118800
X 106000  Y 118400
X 123200  Y 94000
X 109000  Y 59000
X 163200  Y 112000
X 192800  Y 114000
X 203200  Y 114800
X 185200  Y 116400
X 163500  Y 119000
X 177600  Y 134400
X 177600  Y 145000
X 162800  Y 147200
X 203200  Y 172400
X 157600  Y 172400
X 160800  Y 176000
X 192400  Y 197600
X 174000  Y 220500
X 186000  Y 311600
X 181200  Y 312000
X 190400  Y 313600
X 181200  Y 316800
X 167600  Y 316800
X 198400  Y 319600
X 186800  Y 331200
X 191600  Y 331200
X 167600  Y 369200
X 188800  Y 377200
X 159500  Y 384000
X 192000  Y 412000
X 246400  Y 378400
X 241600  Y 378400
X 246400  Y 373600
X 227600  Y 368400
X 217600  Y 368400
X 222400  Y 368000
X 232500  Y 368000
X 232500  Y 331500
X 237500  Y 331400
X 247200  Y 321600
X 253600  Y 321600
X 246400  Y 286000
X 252400  Y 285600
X 250400  Y 235600
X 236400  Y 221600
X 240800  Y 218400
X 209600  Y 216000
X 247600  Y 197200
X 227600  Y 180400
X 220000  Y 178400
X 210000  Y 172400
X 230800  Y 172000
X 250000  Y 165600
X 251600  Y 158800
X 246000  Y 154400
X 236800  Y 153600
X 211200  Y 152400
X 248000  Y 150400
X 246000  Y 143600
X 250400  Y 143600
X 240000  Y 134000
X 240000  Y 129200
X 240000  Y 124400
X 240000  Y 119600
X 225600  Y 118800
X 240000  Y 115200
X 212000  Y 114800
X 207600  Y 114800
X 240000  Y 110800
X 213200  Y 109600
X 207600  Y 109600
X 251200  Y 104000
X 226400  Y 101200
X 260000  Y 104800
X 266000  Y 104800
X 298000  Y 107600
X 293600  Y 108000
X 302800  Y 112400
X 293600  Y 114000
X 303200  Y 116800
X 288000  Y 118000
X 303200  Y 121200
X 296400  Y 130800
X 292000  Y 130800
X 291600  Y 135600
X 296400  Y 135600
X 264000  Y 142400
X 254000  Y 165600
X 258000  Y 165600
X 266000  Y 166000
X 273200  Y 166000
X 287600  Y 176800
X 271200  Y 178400
X 264000  Y 178800
X 267600  Y 179200
X 287600  Y 180400
X 294800  Y 197200
X 302400  Y 197600
X 281000  Y 218500
X 296400  Y 224000
X 286000  Y 224500
X 264800  Y 227200
X 274000  Y 231500
X 259500  Y 232000
X 254800  Y 372000
X 277600  Y 386800
X 261200  Y 395200
X 312000  Y 380000
X 325200  Y 314400
X 336400  Y 314400
X 328400  Y 312400
X 332000  Y 311600
X 340000  Y 311200
X 336400  Y 282800
X 340800  Y 282400
X 330800  Y 281600
X 327200  Y 280000
X 312400  Y 198000
X 321600  Y 182800
X 306400  Y 174800
X 309600  Y 172000
X 315200  Y 166800
X 330800  Y 144000
X 307200  Y 120800
X 311200  Y 120800
X 307200  Y 116400
X 311200  Y 116000
X 306800  Y 112000
X 311200  Y 111600
X 379200  Y 47200
X 384000  Y 198000
X 378000  Y 198000
X 377200  Y 214800
X 384800  Y 214800
X 366800  Y 230400
X 402400  Y 230400
X 373500  Y 237000
X 385200  Y 245600
X 399200  Y 245600
X 378000  Y 245600
X 392000  Y 245600
X 387200  Y 308800
X 392400  Y 308800
X 411600  Y 315200
X 416800  Y 315200
X 411600  Y 279200
X 416800  Y 279200
X 434500  Y 278500
X 448500  Y 277000
X 441000  Y 277000
X 426500  Y 275500
X 434500  Y 274000
X 448500  Y 272000
X 441000  Y 271500
X 427000  Y 270500
X 434500  Y 269000
X 448500  Y 266000
X 441000  Y 266000
X 427000  Y 265500
X 434500  Y 263500
X 441000  Y 261000
X 448500  Y 260500
X 427000  Y 259500
X 434500  Y 258000
X 441000  Y 255500
X 448500  Y 255000
X 409600  Y 229600
X 418400  Y 216400
X 428400  Y 216400
X 445000  Y 215000
X 415500  Y 200000
X 415500  Y 194500
X 451000  Y 186000
X 434000  Y 74000
X 466500  Y 41500
X 490500  Y 42500
X 522600  Y 48600
X 469000  Y 51500
X 490500  Y 51600
X 513900  Y 51900
X 458500  Y 67500
X 479600  Y 68400
X 485600  Y 72000
X 458500  Y 74000
X 620000  Y 178400
X 626800  Y 178400
X 614400  Y 176000
X 614400  Y 168400
X 556200  Y 51900
X 564000  Y 48000

Drill: .016  Tool: 2  Feed: 95  Speed: 300
X 101200  Y 84000
X 73100  Y 92000
X 28800  Y 116000
X 27600  Y 302800
X 37200  Y 320400
X 95000  Y 436000
X 146000  Y 441000
X 167500  Y 440500
X 112000  Y 439000
X 168000  Y 390000
X 167200  Y 350400
X 162000  Y 126000
X 129600  Y 107200
X 108400  Y 52800
X 245200  Y 77200
X 182000  Y 91200
X 210200  Y 102900
X 246800  Y 103600
X 240400  Y 103600
X 217000  Y 105800
X 199600  Y 110400
X 232800  Y 150000
X 190000  Y 159000
X 217000  Y 168000
X 209000  Y 377500
X 229000  Y 378500
X 222500  Y 378500
X 236500  Y 379000
X 215000  Y 379000
X 243500  Y 390500
X 241500  Y 394500
X 263200  Y 382800
X 273600  Y 378800
X 264000  Y 149600
X 282000  Y 121600
X 272400  Y 112400
X 273200  Y 104400
X 280400  Y 102800
X 301600  Y 102800
X 287600  Y 102400
X 294400  Y 102000
X 256400  Y 76800
X 326000  Y 94800
X 364000  Y 118800
X 373600  Y 132000
X 388000  Y 146000
X 388000  Y 151000
X 388000  Y 155500
X 388000  Y 160000
X 388000  Y 165000
X 388000  Y 170000
X 388000  Y 174500
X 388000  Y 179000
X 388500  Y 198000
X 402500  Y 210500
X 384400  Y 332000
X 399500  Y 340000
X 392500  Y 361000
X 385000  Y 367000
X 360000  Y 391000
