"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"J2","COM-2.54mm-90","21.336mm","107.696mm","17.526mm","108.204mm","17.526mm","107.696mm","T","0.00","HEADER 4"
"J9","KF2EDG-12P-3.81mm","88.392mm","5.842mm","67.437mm","5.842mm","67.437mm","5.842mm","T","360.00","J8"
"U17","SOT-143B","45.2628mm","94.5515mm","46.355mm","93.726mm","46.355mm","93.726mm","T","90.00","PRTR5V0U2X"
"R219","0603R","35.687mm","94.615mm","35.687mm","94.615mm","35.687mm","93.7895mm","T","90.00","15K"
"R218","0603R","41.91mm","94.615mm","41.91mm","94.615mm","41.91mm","93.7895mm","T","90.00","15K"
"R217","0603R","37.7613mm","94.615mm","37.7613mm","94.615mm","37.7613mm","95.4405mm","T","270.00","33R"
"R216","0603R","39.8357mm","94.615mm","39.8357mm","94.615mm","39.8357mm","95.4405mm","T","270.00","33R"
"MARKE3","MARK1.0","155.575mm","95.631mm","155.575mm","95.631mm","155.575mm","95.631mm","T","90.00","MARK1.0"
"J12","USB-A","38.791mm","103.59mm","42.291mm","102.235mm","42.291mm","102.235mm","T","180.00","CON5"
"F1","0805R","45.4025mm","98.044mm","46.482mm","98.044mm","46.482mm","98.044mm","T","180.00","0.5A/0805"
"DC9","C100UF16VEJ","13.8693mm","79.884mm","17.145mm","79.883mm","17.1452mm","79.894mm","T","180.00","220uF/25V"
"C79","0603C","47.042mm","29.845mm","47.042mm","29.845mm","47.042mm","29.0195mm","T","90.00","104"
"C88","0603C","47.042mm","33.147mm","47.042mm","33.147mm","47.042mm","33.9725mm","T","270.00","103"
"C106","0603C","57.837mm","29.845mm","57.837mm","29.845mm","57.837mm","30.6705mm","T","270.00","104"
"C108","0603C","57.837mm","33.147mm","57.837mm","33.147mm","57.837mm","32.3215mm","T","90.00","104"
"D17","1206D","41.327mm","29.718mm","41.327mm","29.718mm","39.6125mm","29.718mm","T","360.00","1N4007"
"D21","1206D","52.249mm","29.718mm","52.249mm","29.718mm","50.5345mm","29.718mm","T","360.00","1N4007"
"LED6","D0805","39.549mm","34.0338mm","39.5576mm","35.179mm","39.549mm","35.1768mm","T","0.00","RED"
"LED10","D0805","50.217mm","34.036mm","50.2256mm","35.1812mm","50.217mm","35.179mm","T","0.00","RED"
"Q7","SOT23","43.613mm","35.4203mm","44.6379mm","34.4804mm","44.629mm","34.4678mm","T","90.00","8050"
"Q11","SOT23","54.0182mm","35.611mm","55.043mm","34.671mm","55.0342mm","34.6585mm","T","90.00","8050"
"R93","0603R","39.497mm","37.719mm","39.497mm","37.719mm","40.3225mm","37.719mm","T","180.00","10K"
"R98","0603R","47.042mm","36.449mm","47.042mm","36.449mm","47.042mm","37.2745mm","T","270.00","5.1K"
"R107","0603R","43.8035mm","32.512mm","43.8035mm","32.512mm","44.629mm","32.512mm","T","180.00","4.7K"
"R121","0603R","50.292mm","37.592mm","50.292mm","37.592mm","51.1175mm","37.592mm","T","180.00","10K"
"R123","0603R","57.785mm","36.322mm","57.785mm","36.322mm","57.785mm","37.1475mm","T","270.00","5.1K"
"R125","0603R","54.408mm","32.131mm","54.408mm","32.131mm","55.2335mm","32.131mm","T","180.00","4.7K"
"RL4","HF32F-12V","43.1473mm","18.796mm","40.3533mm","26.416mm","39.3373mm","26.416mm","T","90.00","JQ1P-24V"
"RL5","HF32F-12V","54.0411mm","18.796mm","51.2471mm","26.416mm","50.2311mm","26.416mm","T","90.00","JQ1P-24V"
"U2","TO5B","26.6458mm","84.4718mm","23.2384mm","77.873mm","23.2422mm","77.8718mm","T","90.00","MIC29302"
"Q17","SOT-23L","92.7735mm","10.561mm","93.726mm","11.811mm","93.726mm","11.811mm","T","180.00","AO3407"
"J8","KF2EDG-12P-3.81mm","38.862mm","5.842mm","17.907mm","5.842mm","17.907mm","5.842mm","T","360.00","J8"
"J7","KF2EDG-12P-3.81mm","121.92mm","107.061mm","142.875mm","107.061mm","142.875mm","107.061mm","T","180.00","J?"
"J6","KF2EDG-12P-3.81mm","70.993mm","107.061mm","91.948mm","107.061mm","91.948mm","107.061mm","T","180.00","J?"
"U3","LC-LQFP-144_20x20x05P","82.856mm","53.594mm","82.856mm","53.594mm","72.306mm","62.344mm","T","270.00","LPC1778FBD144"
"RL6","G6S-2","111.812mm","26.289mm","106.732mm","28.829mm","106.732mm","23.749mm","T","360.00","G6S-2"
"R127","0603R","89.789mm","12.7mm","89.789mm","12.7mm","89.789mm","13.5255mm","T","270.00","10K"
"DC8","CAP12.5*20","118.237mm","14.859mm","118.237mm","14.859mm","118.237mm","17.359mm","T","270.00","2000uF/25V"
"DC7","CAP12.5*20","105.283mm","14.859mm","105.283mm","14.859mm","105.283mm","17.359mm","T","270.00","2000uF/25V"
"D27","1206D","103.251mm","26.035mm","103.251mm","26.035mm","103.251mm","27.7495mm","T","270.00","1N4007"
"D24","1206D","96.901mm","17.78mm","96.901mm","17.78mm","96.901mm","16.0655mm","T","90.00","1N4007"
"D23","1206D","96.901mm","11.176mm","96.901mm","11.176mm","96.901mm","9.4615mm","T","90.00","1N4007"
"R87","1206R","150.369mm","25.2814mm","150.368mm","23.495mm","150.369mm","23.5034mm","T","90.00","120R"
