"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R102","0603R","51.562mm","13.97mm","51.562mm","13.97mm","50.7365mm","13.97mm","T","360.00","0R"
"R101","0603R","51.562mm","15.621mm","51.562mm","15.621mm","50.7365mm","15.621mm","T","360.00","0R"
"U17","TSSOP20","81.919mm","99.693mm","78.994mm","96.393mm","78.994mm","96.393mm","T","90.00","74HC245"
"R64","0603R","80.9837mm","92.837mm","80.9837mm","92.837mm","80.9837mm","92.0115mm","T","90.00","2K"
"R63","0603R","79.248mm","92.837mm","79.248mm","92.837mm","79.248mm","92.0115mm","T","90.00","2K"
"R32","0603R","84.455mm","92.837mm","84.455mm","92.837mm","84.455mm","92.0115mm","T","90.00","2K"
"R31","0603R","82.7193mm","92.837mm","82.7193mm","92.837mm","82.7193mm","92.0115mm","T","90.00","2K"
"J4","CON6-2.54mm-90","83.312mm","107.95mm","76.962mm","107.95mm","76.962mm","107.95mm","T","360.00","CON6"
"L8","1206R","19.432mm","12.0734mm","19.431mm","10.287mm","19.432mm","10.2954mm","T","90.00","1uH"
"L7","1206R","22.353mm","12.0734mm","22.352mm","10.287mm","22.353mm","10.2954mm","T","90.00","1uH"
"D9","1206D","12.7mm","12.065mm","12.7mm","12.065mm","12.7mm","10.3505mm","T","90.00","1N4007"
"D8","1206D","15.875mm","12.065mm","15.875mm","12.065mm","15.875mm","10.3505mm","T","90.00","1N4007"
"U16","SO-16","43.556mm","23.4874mm","40.767mm","27.94mm","40.762mm","27.9324mm","T","0.00","SP3232"
"R146","0603R","42.799mm","15.24mm","42.799mm","15.24mm","42.799mm","16.0655mm","T","270.00","10R"
"R145","0603R","45.339mm","15.24mm","45.339mm","15.24mm","45.339mm","16.0655mm","T","270.00","10R"
"R144","0603R","55.118mm","47.498mm","55.118mm","47.498mm","55.118mm","48.3235mm","T","270.00","0R"
"R143","0603R","53.34mm","47.498mm","53.34mm","47.498mm","53.34mm","48.3235mm","T","270.00","0R"
"C88","0603C","37.973mm","20.574mm","37.973mm","20.574mm","37.973mm","19.7485mm","T","90.00","0.1uF"
"C87","0603C","37.973mm","23.749mm","37.973mm","23.749mm","37.973mm","22.9235mm","T","90.00","0.1uF"
"C86","0603C","43.434mm","30.353mm","43.434mm","30.353mm","42.6085mm","30.353mm","T","360.00","0.1uF"
"C85","0603C","37.973mm","26.924mm","37.973mm","26.924mm","37.973mm","26.0985mm","T","90.00","0.1uF"
"UG4","DIP-4","71.9756mm","21.5746mm","70.698mm","17.018mm","70.7056mm","17.0026mm","T","180.00","PS2501L-1"
"UG3","DIP-4","66.8246mm","21.5746mm","65.547mm","17.018mm","65.5546mm","17.0026mm","T","180.00","PS2501L-1"
"UG2","DIP-4","61.6736mm","21.5746mm","60.396mm","17.018mm","60.4036mm","17.0026mm","T","180.00","PS2501L-1"
"UG1","DIP-4","56.5226mm","21.5746mm","55.245mm","17.018mm","55.2526mm","17.0026mm","T","180.00","PS2501L-1"
"R142","0603R","72.009mm","30.607mm","72.009mm","30.607mm","72.8345mm","30.607mm","T","180.00","10K"
"R141","0603R","71.755mm","12.446mm","71.755mm","12.446mm","72.5805mm","12.446mm","T","180.00","10K"
"R140","0603R","66.8443mm","30.607mm","66.8443mm","30.607mm","67.6698mm","30.607mm","T","180.00","10K"
"R139","0603R","67.0137mm","12.446mm","67.0137mm","12.446mm","67.8392mm","12.446mm","T","180.00","10K"
"R138","0603R","61.6797mm","30.607mm","61.6797mm","30.607mm","62.5052mm","30.607mm","T","180.00","10K"
"R137","0603R","61.7643mm","12.446mm","61.7643mm","12.446mm","62.5898mm","12.446mm","T","180.00","10K"
"R130","0603R","56.515mm","30.607mm","56.515mm","30.607mm","57.3405mm","30.607mm","T","180.00","10K"
"R129","0603R","56.515mm","12.446mm","56.515mm","12.446mm","57.3405mm","12.446mm","T","180.00","10K"
"J14","KF2EDG-8P-3.81mm","66.167mm","4.445mm","52.832mm","4.445mm","52.832mm","4.445mm","T","360.00","CON8"
"C84","0603C","67.0137mm","14.097mm","67.0137mm","14.097mm","66.1882mm","14.097mm","T","360.00","104"
"C83","0603C","72.009mm","28.956mm","72.009mm","28.956mm","71.1835mm","28.956mm","T","360.00","104"
"C82","0603C","71.755mm","14.097mm","71.755mm","14.097mm","70.9295mm","14.097mm","T","360.00","104"
