"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"JP2","CON-3.81MM-6P","248.539mm","106.734mm","248.539mm","106.734mm","248.539mm","97.209mm","T","90.00","3.81MM-6P"
"J1","KF2EDG-12P-3.81mm","202.7936mm","130.5306mm","202.7936mm","130.5306mm","223.7486mm","130.5306mm","T","180.00","J?"
"R119","0603R","243.8908mm","46.482mm","243.8908mm","46.482mm","244.7163mm","46.482mm","T","180.00","10K"
"UG24","DIP-4","235.4028mm","110.904mm","239.9594mm","109.6264mm","239.9748mm","109.634mm","T","270.00","PS2501L-1"
"UG23","DIP-4","224.4776mm","117.0332mm","225.7552mm","121.5898mm","225.7476mm","121.6052mm","T","0.00","PS2501L-1"
"R227","0603R","225.7298mm","108.458mm","225.7298mm","108.458mm","225.7298mm","109.2835mm","T","270.00","10K"
"R226","0603R","243.7638mm","112.5474mm","243.7638mm","112.5474mm","244.5893mm","112.5474mm","T","180.00","10K"
"R225","0603R","221.996mm","107.3658mm","221.996mm","107.3658mm","221.1705mm","107.3658mm","T","360.00","10K"
"R224","0603R","222.7072mm","125.3998mm","222.7072mm","125.3998mm","222.7072mm","126.2253mm","T","270.00","10K"
"C153","0603C","227.3046mm","108.4834mm","227.3046mm","108.4834mm","227.3046mm","107.6579mm","T","90.00","104"
"C152","0603C","221.9452mm","108.8644mm","221.9452mm","108.8644mm","222.7707mm","108.8644mm","T","180.00","104"
"C151","0603C","242.9256mm","110.2614mm","242.9256mm","110.2614mm","242.9256mm","111.0869mm","T","270.00","0.1uF"
"C150","0603C","224.9932mm","124.587mm","224.9932mm","124.587mm","224.1677mm","124.587mm","T","360.00","0.1uF"
"J13","KF2EDG-12P-3.81mm","4.9022mm","78.3336mm","4.9022mm","78.3336mm","4.9022mm","99.2886mm","T","270.00","J?"
"RL21","HF32F-12V","10.668mm","19.304mm","7.874mm","26.924mm","6.858mm","26.924mm","T","90.00","JQ1P-24V"
"R223","0603R","10.6172mm","32.7914mm","10.6172mm","32.7914mm","11.4427mm","32.7914mm","T","180.00","4.7K"
"R222","0603R","14.1478mm","36.8046mm","14.1478mm","36.8046mm","14.1478mm","37.6301mm","T","270.00","5.1K"
"R221","0603R","7.6962mm","38.5064mm","7.6962mm","38.5064mm","6.8707mm","38.5064mm","T","360.00","10K"
"Q27","SOT23","10.5322mm","36.1698mm","11.557mm","35.2298mm","11.5482mm","35.2172mm","T","90.00","8050"
"LED23","D0805","7.0526mm","34.364mm","7.0612mm","35.5092mm","7.0526mm","35.507mm","T","0.00","GREEN"
"D32","1206D","8.89mm","30.1752mm","8.89mm","30.1752mm","7.1755mm","30.1752mm","T","360.00","1N4007"
"C149","0603C","14.1986mm","33.5534mm","14.1986mm","33.5534mm","14.1986mm","32.7279mm","T","90.00","104"
"C148","0603C","14.1478mm","30.2768mm","14.1478mm","30.2768mm","14.1478mm","31.1023mm","T","270.00","104"
"UG22","DIP-4","219.042mm","117.0332mm","220.3196mm","121.5898mm","220.312mm","121.6052mm","T","360.00","PS2501L-1"
"UG21","DIP-4","213.6231mm","116.9824mm","214.9007mm","121.539mm","214.8931mm","121.5544mm","T","360.00","PS2501L-1"
"UG20","DIP-4","208.2041mm","116.9824mm","209.4818mm","121.539mm","209.4742mm","121.5544mm","T","360.00","PS2501L-1"
"UG19","DIP-4","202.7852mm","116.9824mm","204.0629mm","121.539mm","204.0552mm","121.5544mm","T","360.00","PS2501L-1"
"U44","SOP8","30.5246mm","84.6136mm","27.9908mm","86.5124mm","27.9846mm","86.5186mm","T","0.00","LM258"
"U43","SOP8","30.3976mm","93.9862mm","27.8638mm","95.885mm","27.8576mm","95.8912mm","T","0.00","LM258"
"U41","SOT23","20.4558mm","80.5433mm","19.431mm","81.4832mm","19.4398mm","81.4958mm","T","270.00","TL431"
"U40","SOT23","20.4558mm","86.0974mm","19.431mm","87.0373mm","19.4398mm","87.0499mm","T","270.00","TL431"
"U38","SOT23","20.4558mm","91.6515mm","19.431mm","92.5915mm","19.4398mm","92.604mm","T","270.00","TL431"
"U37","SOT23","20.4558mm","97.2056mm","19.431mm","98.1456mm","19.4398mm","98.1581mm","T","270.00","TL431"
"U15","SOT-143B","63.0682mm","116.7765mm","64.1604mm","115.951mm","64.1604mm","115.951mm","T","90.00","PRTR5V0U2X"
"R220","0603R","174.371mm","69.2912mm","174.371mm","69.2912mm","175.1965mm","69.2912mm","T","180.00","10R"
"R219","0603R","58.0136mm","121.1836mm","58.0136mm","121.1836mm","58.0136mm","120.3581mm","T","90.00","15K"
"R218","0603R","63.0428mm","121.1836mm","63.0428mm","121.1836mm","63.0428mm","120.3581mm","T","90.00","15K"
"R216","0603R","61.3156mm","121.1834mm","61.3156mm","121.1834mm","61.3156mm","122.0089mm","T","270.00","33R"
"R215","0603R","39.8272mm","82.804mm","39.8272mm","82.804mm","39.8272mm","83.6295mm","T","270.00","470/1%"
"R214","0603R","37.6428mm","82.804mm","37.6428mm","82.804mm","37.6428mm","81.9785mm","T","90.00","200/1%"
"R213","0603R","15.4047mm","80.68mm","15.4047mm","80.68mm","15.4047mm","79.8546mm","T","90.00","470R/1%"
"R212","0603R","13.3285mm","80.68mm","13.3285mm","80.68mm","13.3285mm","79.8546mm","T","90.00","470R/1%"
"R211","0603R","17.481mm","80.68mm","17.481mm","80.68mm","17.481mm","81.5055mm","T","270.00","100R"
"R210","0603R","39.8272mm","87.4353mm","39.8272mm","87.4353mm","39.8272mm","88.2608mm","T","270.00","470/1%"
"R209","0603R","37.6428mm","87.4353mm","37.6428mm","87.4353mm","37.6428mm","86.6098mm","T","90.00","200/1%"
"R208","0603R","15.4047mm","86.2342mm","15.4047mm","86.2342mm","15.4047mm","85.4087mm","T","90.00","470R/1%"
"R207","0603R","13.3285mm","86.2342mm","13.3285mm","86.2342mm","13.3285mm","85.4087mm","T","90.00","470R/1%"
"R206","0603R","17.481mm","86.2342mm","17.481mm","86.2342mm","17.481mm","87.0597mm","T","270.00","100R"
"R205","0603R","39.8272mm","92.075mm","39.8272mm","92.075mm","39.8272mm","92.9005mm","T","270.00","470/1%"
"R204","0603R","37.6428mm","92.075mm","37.6428mm","92.075mm","37.6428mm","91.2495mm","T","90.00","200/1%"
"R203","0603R","15.4047mm","91.5147mm","15.4047mm","91.5147mm","15.4047mm","92.3402mm","T","270.00","470R/1%"
"R202","0603R","13.3285mm","91.5147mm","13.3285mm","91.5147mm","13.3285mm","92.3402mm","T","270.00","470R/1%"
"R201","0603R","17.481mm","91.5149mm","17.481mm","91.5149mm","17.481mm","90.6894mm","T","90.00","100R"
"R200","0603R","39.8272mm","96.6978mm","39.8272mm","96.6978mm","39.8272mm","97.5233mm","T","270.00","470/1%"
"R199","0603R","37.6428mm","96.6978mm","37.6428mm","96.6978mm","37.6428mm","95.8723mm","T","90.00","200/1%"
"R198","0603R","15.4047mm","97.3424mm","15.4047mm","97.3424mm","15.4047mm","96.5169mm","T","90.00","4.7K/1%"
"R197","0603R","13.3285mm","97.3424mm","13.3285mm","97.3424mm","13.3285mm","96.5169mm","T","90.00","4.7K/1%"
"R196","0603R","17.481mm","97.3423mm","17.481mm","97.3423mm","17.481mm","98.1677mm","T","270.00","100R"
"R194","0603R","217.297mm","125.2982mm","217.297mm","125.2982mm","217.297mm","126.1237mm","T","270.00","10K"
"R193","0603R","213.741mm","107.2134mm","213.741mm","107.2134mm","212.9155mm","107.2134mm","T","360.00","10K"
"R192","0603R","211.8614mm","125.222mm","211.8614mm","125.222mm","211.8614mm","126.0475mm","T","270.00","10K"
"R191","0603R","208.2292mm","107.3912mm","208.2292mm","107.3912mm","207.4037mm","107.3912mm","T","360.00","10K"
"R190","0603R","206.5782mm","125.2728mm","206.5782mm","125.2728mm","206.5782mm","126.0983mm","T","270.00","10K"
"R189","0603R","202.8698mm","107.4928mm","202.8698mm","107.4928mm","202.0443mm","107.4928mm","T","360.00","10K"
"R188","0603R","201.0156mm","125.2474mm","201.0156mm","125.2474mm","201.0156mm","126.0729mm","T","270.00","10K"
"L3","1206R","12.5814mm","53.2628mm","10.795mm","53.2638mm","10.8034mm","53.2628mm","T","360.00","1uH"
"L2","1206R","12.5306mm","50.3672mm","10.7442mm","50.3682mm","10.7526mm","50.3672mm","T","360.00","1uH"
"J12","USB-A","60.4318mm","126.9834mm","63.9318mm","125.6284mm","63.9318mm","125.6284mm","T","180.00","CON5"
"J8","KF2EDG-12P-3.81mm","93.2744mm","4.8514mm","93.2744mm","4.8514mm","72.3194mm","4.8514mm","T","360.00","J?"
"J6","KF2EDG-12P-3.81mm","93.1728mm","130.2766mm","93.1728mm","130.2766mm","114.1278mm","130.2766mm","T","180.00","J?"
"F1","0805R","66.3448mm","121.1199mm","66.3448mm","120.0404mm","66.3448mm","120.0404mm","T","90.00","0.5A/0805"
"D2","1206D","12.4714mm","58.2168mm","12.4714mm","58.2168mm","10.7569mm","58.2168mm","T","360.00","1N4007"
"D1","1206D","12.5984mm","61.2648mm","12.5984mm","61.2648mm","10.8839mm","61.2648mm","T","360.00","1N4007"
"C147","0603C","11.2522mm","80.6799mm","11.2522mm","80.6799mm","11.2522mm","81.5053mm","T","270.00","103"
"C146","0603C","11.2522mm","86.233mm","11.2522mm","86.233mm","11.2522mm","87.0585mm","T","270.00","103"
"C145","0603C","41.8338mm","82.8038mm","41.8338mm","82.8038mm","41.8338mm","83.6293mm","T","270.00","103"
"C144","0603C","41.8338mm","87.4351mm","41.8338mm","87.4351mm","41.8338mm","88.2606mm","T","270.00","103"
"C143","0603C","41.8338mm","92.0748mm","41.8338mm","92.0748mm","41.8338mm","92.9003mm","T","270.00","103"
"C142","0603C","11.2522mm","91.5149mm","11.2522mm","91.5149mm","11.2522mm","90.6894mm","T","90.00","103"
"C141","0603C","41.8338mm","96.6976mm","41.8338mm","96.6976mm","41.8338mm","97.5231mm","T","270.00","103"
"C140","0603C","11.2522mm","97.3423mm","11.2522mm","97.3423mm","11.2522mm","98.1677mm","T","270.00","103"
"C139","0603C","218.0844mm","108.8644mm","218.0844mm","108.8644mm","218.9099mm","108.8644mm","T","180.00","104"
"C138","0603C","219.6592mm","124.5108mm","219.6592mm","124.5108mm","218.8337mm","124.5108mm","T","360.00","0.1uF"
"C137","0603C","213.6902mm","108.839mm","213.6902mm","108.839mm","214.5157mm","108.839mm","T","180.00","104"
"C136","0603C","214.2744mm","124.3584mm","214.2744mm","124.3584mm","213.4489mm","124.3584mm","T","360.00","0.1uF"
"C135","0603C","208.2292mm","108.8136mm","208.2292mm","108.8136mm","209.0547mm","108.8136mm","T","180.00","104"
"C134","0603C","208.915mm","124.3584mm","208.915mm","124.3584mm","208.0895mm","124.3584mm","T","360.00","0.1uF"
"C133","0603C","202.8698mm","108.9152mm","202.8698mm","108.9152mm","203.6953mm","108.9152mm","T","180.00","104"
"C132","0603C","203.327mm","124.333mm","203.327mm","124.333mm","202.5015mm","124.333mm","T","360.00","0.1uF"
"C87","0603C","197.231mm","108.9406mm","197.231mm","108.9406mm","198.0565mm","108.9406mm","T","180.00","104"
"C77","0603C","243.0272mm","83.0326mm","243.0272mm","83.0326mm","243.0272mm","83.8581mm","T","270.00","0.1uF"
"C76","0603C","242.8748mm","99.4664mm","242.8748mm","99.4664mm","242.8748mm","100.2919mm","T","270.00","0.1uF"
"C72","0603C","227.6602mm","94.361mm","227.6602mm","94.361mm","227.6602mm","93.5355mm","T","90.00","104"
"RL13","HF32F-12V","159.4414mm","19.336mm","156.6474mm","26.956mm","155.6314mm","26.956mm","T","90.00","JQ1P-24V"
"DC2","C470UF25VEJ","24.8658mm","71.7812mm","30.7086mm","71.7804mm","30.7078mm","71.7812mm","T","180.00","470uF/35V"
"J11","KF2EDG-12P-3.81mm","207.0918mm","4.826mm","207.0918mm","4.826mm","186.1368mm","4.826mm","T","360.00","J?"
"UG7","DIP-4","235.6568mm","44.8198mm","240.2134mm","43.5422mm","240.2288mm","43.5498mm","T","270.00","PS2501L-1"
"UG6","DIP-4","235.6568mm","77.9619mm","240.2134mm","76.6843mm","240.2288mm","76.6919mm","T","270.00","PS2501L-1"
"UG5","DIP-4","235.6568mm","72.4382mm","240.2134mm","71.1606mm","240.2288mm","71.1682mm","T","270.00","PS2501L-1"
"UG4","DIP-4","235.6568mm","66.9145mm","240.2134mm","65.6369mm","240.2288mm","65.6445mm","T","270.00","PS2501L-1"
"UG3","DIP-4","235.6568mm","61.3908mm","240.2134mm","60.1132mm","240.2288mm","60.1208mm","T","270.00","PS2501L-1"
"UG2","DIP-4","235.6568mm","55.8671mm","240.2134mm","54.5895mm","240.2288mm","54.5971mm","T","270.00","PS2501L-1"
"UG1","DIP-4","235.6568mm","50.3435mm","240.2134mm","49.0659mm","240.2288mm","49.0735mm","T","270.00","PS2501L-1"
"RL9","HF32F-12V","67.4059mm","19.2852mm","64.6119mm","26.9052mm","63.5959mm","26.9052mm","T","90.00","JQ1P-24V"
"RL7","HF32F-12V","113.14mm","19.3106mm","110.346mm","26.9306mm","109.33mm","26.9306mm","T","90.00","JQ1P-24V"
"RL5","HF32F-12V","56.0295mm","19.2852mm","53.2355mm","26.9052mm","52.2195mm","26.9052mm","T","90.00","JQ1P-24V"
"RL8","HF32F-12V","44.5516mm","19.2852mm","41.7576mm","26.9052mm","40.7416mm","26.9052mm","T","90.00","JQ1P-24V"
"RL6","HF32F-12V","101.5096mm","19.3106mm","98.7156mm","26.9306mm","97.6996mm","26.9306mm","T","90.00","JQ1P-24V"
"RL2","HF32F-12V","90.1332mm","19.2852mm","87.3393mm","26.9052mm","86.3232mm","26.9052mm","T","90.00","JQ1P-24V"
"R125","0603R","67.7728mm","32.6202mm","67.7728mm","32.6202mm","68.5983mm","32.6202mm","T","180.00","4.7K"
"R123","0603R","71.2018mm","37.0652mm","71.2018mm","37.0652mm","71.2018mm","37.8907mm","T","270.00","5.1K"
"R121","0603R","63.7088mm","38.7162mm","63.7088mm","38.7162mm","64.5343mm","38.7162mm","T","180.00","10K"
"R108","0603R","113.6198mm","33.0266mm","113.6198mm","33.0266mm","114.4453mm","33.0266mm","T","180.00","4.7K"
"R107","0603R","56.6857mm","33.0012mm","56.6857mm","33.0012mm","57.5112mm","33.0012mm","T","180.00","4.7K"
"R126","0603R","125.2559mm","33.0012mm","125.2559mm","33.0012mm","126.0814mm","33.0012mm","T","180.00","4.7K"
"R100","0603R","117.0488mm","37.4716mm","117.0488mm","37.4716mm","117.0488mm","38.2971mm","T","270.00","5.1K"
"R124","0603R","128.5804mm","36.9382mm","128.5804mm","36.9382mm","128.5804mm","37.7637mm","T","270.00","5.1K"
"R98","0603R","59.9242mm","36.9382mm","59.9242mm","36.9382mm","59.9242mm","37.7637mm","T","270.00","5.1K"
"R122","0603R","120.8334mm","38.9702mm","120.8334mm","38.9702mm","121.6589mm","38.9702mm","T","180.00","10K"
"R95","0603R","109.8098mm","38.8686mm","109.8098mm","38.8686mm","110.6353mm","38.8686mm","T","180.00","10K"
"R93","0603R","52.6852mm","38.8432mm","52.6852mm","38.8432mm","53.5107mm","38.8432mm","T","180.00","10K"
"R111","0603R","45.243mm","33.0012mm","45.243mm","33.0012mm","46.0685mm","33.0012mm","T","180.00","4.7K"
"R85","0603R","90.1756mm","33.0012mm","90.1756mm","33.0012mm","91.0011mm","33.0012mm","T","180.00","4.7K"
"R106","0603R","101.9612mm","33.0266mm","101.9612mm","33.0266mm","102.7867mm","33.0266mm","T","180.00","4.7K"
"R102","0603R","48.545mm","36.9382mm","48.545mm","36.9382mm","48.545mm","37.7637mm","T","270.00","5.1K"
"R99","0603R","105.2632mm","36.9636mm","105.2632mm","36.9636mm","105.2632mm","37.7891mm","T","270.00","5.1K"
"R79","0603R","93.8586mm","37.0652mm","93.8586mm","37.0652mm","93.8586mm","37.8907mm","T","270.00","5.1K"
"R94","0603R","98.0242mm","38.9956mm","98.0242mm","38.9956mm","98.8497mm","38.9956mm","T","180.00","10K"
"R61","0603R","86.3656mm","38.7162mm","86.3656mm","38.7162mm","87.1911mm","38.7162mm","T","180.00","10K"
"Q11","SOT23","67.383mm","36.1001mm","68.4078mm","35.1602mm","68.399mm","35.1476mm","T","90.00","8050"
"Q9","SOT23","113.6198mm","36.7731mm","114.6447mm","35.8331mm","114.6358mm","35.8206mm","T","90.00","8050"
"Q12","SOT23","125.5324mm","36.7985mm","126.5573mm","35.8585mm","126.5484mm","35.846mm","T","90.00","8050"
"Q7","SOT23","56.4952mm","35.9095mm","57.5201mm","34.9695mm","57.5112mm","34.957mm","T","90.00","8050"
