"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C7","0603C","45.6438mm","62.6364mm","45.6438mm","62.6364mm","45.6438mm","63.4619mm","T","270.00","0.1uF"
"C6","0603C","47.5488mm","62.6872mm","47.5488mm","62.6872mm","47.5488mm","63.5127mm","T","270.00","0.1uF"
"R17","0603R","50.8762mm","64.3128mm","50.8762mm","64.3128mm","51.7017mm","64.3128mm","T","180.00","0R"
"R15","0603R","50.8508mm","62.6872mm","50.8508mm","62.6872mm","51.6763mm","62.6872mm","T","180.00","0R"
"R14","0603R","9.311mm","42.4942mm","9.311mm","42.4942mm","8.4855mm","42.4942mm","T","360.00","15k%1"
"D6","1206D","19.6234mm","63.5762mm","19.6234mm","63.5762mm","17.9089mm","63.5762mm","T","360.00","1N4007"
"U11","SOP8","31.733mm","44.634mm","29.1992mm","46.5328mm","29.193mm","46.539mm","T","0.00","AT24C16"
"R35","0603R","39.2068mm","43.3578mm","39.2068mm","43.3578mm","39.2068mm","44.1833mm","T","270.00","10K"
"R34","0603R","37.4542mm","43.3578mm","37.4542mm","43.3578mm","37.4542mm","44.1833mm","T","270.00","10k"
"J5","KF2EDG-4P-3.81mm","58.0136mm","67.4878mm","63.7286mm","67.4878mm","63.7286mm","67.4878mm","T","180.00","HEADER 4"
"U7","SO-16","32.1406mm","53.9928mm","29.3516mm","58.4454mm","29.3466mm","58.4378mm","T","0.00","SP3232"
"R139","0603R","41.3766mm","62.1792mm","41.3766mm","62.1792mm","41.3766mm","61.3537mm","T","90.00","10R"
"R138","0603R","38.227mm","62.1792mm","38.227mm","62.1792mm","38.227mm","61.3537mm","T","90.00","10R"
"R43","0603R","39.1814mm","51.4096mm","39.1814mm","51.4096mm","40.0069mm","51.4096mm","T","180.00","0R"
"R40","0603R","39.1814mm","52.9336mm","39.1814mm","52.9336mm","40.0069mm","52.9336mm","T","180.00","0R"
"J4","KF2EDG-4P-3.81mm","41.1988mm","67.4878mm","46.9138mm","67.4878mm","46.9138mm","67.4878mm","T","180.00","HEADER 4"
"C37","0603C","26.8116mm","50.7238mm","26.8116mm","50.7238mm","26.8116mm","49.8983mm","T","90.00","0.1uF"
"C36","0603C","26.8116mm","54.0004mm","26.8116mm","54.0004mm","26.8116mm","53.1749mm","T","90.00","0.1uF"
"C33","0603C","62.3208mm","43.7388mm","62.3208mm","43.7388mm","63.1463mm","43.7388mm","T","180.00","1uF"
"C32","0603C","31.1404mm","62.5094mm","31.1404mm","62.5094mm","31.1404mm","61.6839mm","T","90.00","0.1uF"
"C31","0603C","26.8116mm","57.3024mm","26.8116mm","57.3024mm","26.8116mm","56.4769mm","T","90.00","0.1uF"
"C1","0603C","41.061mm","48.006mm","41.061mm","48.006mm","41.061mm","48.8315mm","T","270.00","0.1uF"
"C2","0603C","39.1814mm","48.0568mm","39.1814mm","48.0568mm","39.1814mm","48.8823mm","T","270.00","0.1uF"
"C3","0603C","37.4034mm","48.1076mm","37.4034mm","48.1076mm","37.4034mm","48.9331mm","T","270.00","0.1uF"
"C4","0603C","56.2356mm","54.3052mm","56.2356mm","54.3052mm","55.4101mm","54.3052mm","T","360.00","0.1uF"
"C13","0603C","62.2954mm","42.1386mm","62.2954mm","42.1386mm","61.4699mm","42.1386mm","T","360.00","10nF"
"C10","0603C","41.7214mm","37.973mm","41.7214mm","37.973mm","41.7214mm","38.7985mm","T","270.00","0.1uF/NC"
"C9","0603C","9.4888mm","53.0352mm","9.4888mm","53.0352mm","10.3143mm","53.0352mm","T","180.00","104"
"C5","0603C","24.2716mm","45.0596mm","24.2716mm","45.0596mm","25.0971mm","45.0596mm","T","180.00","3.9nF"
"C14","0603C","56.261mm","55.7784mm","56.261mm","55.7784mm","57.0865mm","55.7784mm","T","180.00","0.1uF"
"C19","0603C","46.4204mm","54.1528mm","46.4204mm","54.1528mm","45.5949mm","54.1528mm","T","0.00","22P"
"C20","0603C","43.0676mm","54.1528mm","43.0676mm","54.1528mm","43.8931mm","54.1528mm","T","180.00","22P"
"C21","1206C","9.4888mm","10.3378mm","9.4888mm","10.3378mm","7.7108mm","10.3378mm","T","360.00","10nF/2KV/1206"
"C22","CA1206","24.6658mm","38.3433mm","24.678mm","36.6268mm","24.6658mm","36.6288mm","T","270.00","10uF/16V"
"C23","0603C","27.0656mm","36.6522mm","27.0656mm","36.6522mm","27.0656mm","35.8267mm","T","90.00","0.1uF"
"C26","1206C","24.9066mm","11.4046mm","24.9066mm","11.4046mm","24.9066mm","13.1826mm","T","270.00","10nF/2KV/1206"
"C28","0603C","52.8828mm","54.3052mm","52.8828mm","54.3052mm","53.7083mm","54.3052mm","T","180.00","0.1uF"
"C29","CA1206","6.3778mm","38.2417mm","6.39mm","36.5252mm","6.3778mm","36.5272mm","T","270.00","10uF/16V"
"C30","0603C","8.6252mm","36.6522mm","8.6252mm","36.6522mm","8.6252mm","37.4777mm","T","270.00","0.1uF"
"D1","1206D","54.523mm","57.9374mm","54.523mm","57.9374mm","56.2375mm","57.9374mm","T","180.00","1N4148"
"D2","D0805","17.4368mm","38.3372mm","18.582mm","38.3286mm","18.5798mm","38.3372mm","T","270.00","GREEN"
"D3","D0805","12.1834mm","38.32mm","11.0382mm","38.3286mm","11.0404mm","38.32mm","T","90.00","RED"
